"GroupTitle","GroupId","Permissions"
"A&A Insights Non-NPSG Contributors","1053","None"
"AFS Template Members","1054","None"
"AFS Template Owners","1060","None"
"AFS Template Visitors","1061","None"
"Approvers","587","None"
"ASMG - National Members-Contibutors","37","Edit, Limited Access"
"ASMG Rotating Managers","38","Contribute"
"Audit SCBO","25","None"
"Audit Team Sites Owners","726","None"
"Auto Comms Pre-Pilot and Pilot Members","713","None"
"Contract Express UAT Members","720","None"
"Designers","585","None"
"Excel Services Viewers","837","View Only"
"Global Content Moderators","1005","None"
"Hierarchy Managers","586","None"
"MAPS Content Contributors","48","Contribute, Limited Access"
"MAPS Content Owners","26","Full Control - no site creation"
"MAPS Content PM Access","932","None"
"MAPS Content UAT Members","56","Contribute, Limited Access"
"MAPS Content Visitors","55","Limited Access"
"MAPS Members","1051","Read"
"MAPS Owners","1032","None"
"MAPS_REF Contribute","1065","None"
"MAPS_REF Owners","1063","None"
"MAPS_REF Read","1066","None"
"MAPS-Team Members","61","Edit"
"MAPS-Team Owners","34","None"
"MAPS Visitors","1052","None"
"NPSG Ops Designers","730","None"
"NPSG Ops_Members-Contributors","729","None"
"NPSG Ops_Owners","725","None"
"Quick Deploy Users","589","None"
"Restricted Readers","588","None"
"SharingLinks.0b2650d7-b5e1-4dc1-9290-cfbd1eb45e77.Flexible.b7f0bff0-783a-45e8-a49e-598c81914a24","776","Limited Access"
"SharingLinks.0d756ef4-1635-47e4-8760-3d7b6ec9213d.Flexible.9d9c53f2-f895-4c09-b4e8-303212dfbf76","853","Limited Access"
"SharingLinks.1f1f0c9e-b6fb-4bd3-ab89-af90557c0c7e.Flexible.2a72257e-01f4-40b8-8a89-ea93d1d16c2d","1014","Limited Access"
"SharingLinks.29f64b29-2d94-4d92-a926-ce7a2fd35e72.Flexible.9e074da5-949d-4f06-b79b-58c2ea9b70fe","1025","Limited Access"
"SharingLinks.29f64b29-2d94-4d92-a926-ce7a2fd35e72.Flexible.a94a3478-da4f-4c6d-b908-0e01ca773456","1023","Limited Access"
"SharingLinks.45029016-7702-4e04-b2e7-fc031d2115d2.Flexible.1a25fe37-e35c-4905-aa28-7f887dd8a8b7","845","Limited Access"
"SharingLinks.6629dbda-640e-455d-bd61-5cbf71cd9c83.Flexible.03d7a1e9-a3e8-409a-968d-7e056ce1a594","1012","Limited Access"
"SharingLinks.9946cb96-6923-42d3-9165-3340290aded1.Flexible.05010308-54a4-44b3-b79d-fab23358da64","866","Limited Access"
"SharingLinks.9ccbd9c9-99ae-4923-a002-d6becf961f4d.Flexible.d94c9341-0367-4792-9b5a-8b6e5d6f15e3","836","Limited Access"
"SharingLinks.b36a7ac6-8c11-41b6-ad61-0c01d2770b98.Flexible.a9487f33-4ed0-42dd-9d10-4edad864692d","1009","Limited Access"
"SharingLinks.bbaa6fa2-5a7f-4174-b295-66c1c9482826.Flexible.714f8360-02b5-4ee1-97c4-9eb21e81024f","788","Limited Access"
"SharingLinks.c21ec739-6326-4e78-b01b-e95ad1822d96.Flexible.b4858860-4a6a-4b38-bf0e-b28a1817c6d8","846","Limited Access"
"SharingLinks.cd087a51-3fd3-41ee-b4f4-87f1ae4d121c.Flexible.2a8d4e03-2c90-4bda-974e-a49e1a81d5df","1011","Limited Access"
"SharingLinks.e482f883-8d35-4415-8243-1a70ce6011c4.Flexible.160bf034-806d-4938-8471-8b8bd8c792a7","908","Limited Access"
"Style Resource Readers","584","None"
"Teams Members","1062","None"
"Temp Missing ASMG National Group","1064","None"
"Translation Managers","591","None"
"WPs Admin Members","5","Edit"
"WPs Admin Owners","3","Full Control - no site creation"
"WPs Admin Visitors","4","Read"
"WPs Content Members","1070","None"
"WPs Content Owners","1069","None"
"WPs Content Visitors","1071","None"
